"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC"
"3","30850","0.02386","32000","30.767","1292979","1292979","1315819.86"
"5.3","359301.25","0.275349","356420","30.767","1292979","1292979","1315819.86"
"9.66","521810","0.334367","432729.72","30.767","1292979","1292979","1315819.86"
"12.6","697067.27","0.429218","555369.72","30.767","1292979","1292979","1315819.86"
"16.3","898004","0.594861","774993.6","30.767","1292979","1292979","1315819.86"
"20.5","1028089","0.749261","976544.86","30.767","1292979","1292979","1315819.86"
"23.28","1252629","0.786006","1026082.36","30.767","1292979","1292979","1315819.86"
"26.83","1292979","0.925528","1216911.53","30.767","1292979","1292979","1315819.86"
"28.67","1292979","0.968793","1274519.86","30.767","1292979","1292979","1315819.86"
"30.767","1292979","1","1315819.86","30.767","1292979","1292979","1315819.86"
