AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.579166667,42254.6001,0.072676051,35599.6499,13.44444444,440940.8905,440940.8905,440940.8905
1.577777778,115636.5591,0.214498527,94581.17139,13.44444444,440940.8905,440940.8905,440940.8905
2.611111111,143765.3169,0.228780208,107567.064,13.44444444,440940.8905,440940.8905,440940.8905
3.644444444,168524.276,0.333182993,151867.7534,13.44444444,440940.8905,440940.8905,440940.8905
4.644444444,193510.3932,0.378796663,168541.9536,13.44444444,440940.8905,440940.8905,440940.8905
5.677777778,230467.5994,0.41072867,181695.7033,13.44444444,440940.8905,440940.8905,440940.8905
6.677777778,237010.2331,0.474322735,211395.0503,13.44444444,440940.8905,440940.8905,440940.8905
7.711111111,267636.5859,0.48491108,213957.4301,13.44444444,440940.8905,440940.8905,440940.8905
8.744444444,292161.4747,0.577687963,258129.5796,13.44444444,440940.8905,440940.8905,440940.8905
9.677777778,300612.5125,0.614635603,274263.51,13.44444444,440940.8905,440940.8905,440940.8905
10.71111111,324006.1422,0.675483856,293099.8414,13.44444444,440940.8905,440940.8905,440940.8905
11.71111111,399580.0806,0.712032644,312105.8815,13.44444444,440940.8905,440940.8905,440940.8905
12.74444444,434093.7142,0.886248079,394349.9005,13.44444444,440940.8905,440940.8905,440940.8905
13.44444444,440940.8905,1,440940.8905,13.44444444,440940.8905,440940.8905,440940.8905
