AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
5.9333,933607,0.2553,559006,21.0667,2113684,2113684,2512524
8,1178847,0.3008,678368,21.0667,2113684,2113684,2512524
9.0333,1352567,0.3467,800488,21.0667,2113684,2113684,2512524
9.9667,1487368,0.4219,989288,21.0667,2113684,2113684,2512524
12,1815808,0.5774,1393688,21.0667,2113684,2113684,2512524
14.0333,2090488,0.7366,1816788,21.0667,2113684,2113684,2512524
17.1,2113684,0.8848,2198088,21.0667,2113684,2113684,2512524
18.1333,2113684,0.9531,2376488,21.0667,2113684,2113684,2512524
19.1333,2113684,0.9809,2460488,21.0667,2113684,2113684,2512524
20.1667,2113684,0.9933,2490288,21.0667,2113684,2113684,2512524
21.0667,2113684,1,2512524,21.0667,2113684,2113684,2512524
