Mã,Loai,Thuc te,Du doan,Chinh xac
C2016-22.csv,tat ca,57822.399780273496,162869.70297484472,0
C2016-22.csv,25,57822.399780273496,151242.64394060895,0
C2016-22.csv,1 -> 25,57822.399780273496,141232.5768621154,0
C2016-22.csv,50,57822.399780273496,168111.81469251588,0
C2016-22.csv,1 -> 50,57822.399780273496,146237.61040136218,0
-----,------,------,------,------
C2015-07.csv,tat ca,5414544.0,12608310.849569125,0
C2015-07.csv,25,5414544.0,2681401.8566079214,49.522210117932765
C2015-07.csv,1 -> 25,5414544.0,1136493.3455238715,20.98964096558956
C2015-07.csv,50,5414544.0,10890787.296153605,0
C2015-07.csv,1 -> 50,5414544.0,3736473.1369960587,69.00808520525568
-----,------,------,------,------
C2014-01.csv,tat ca,39777643.3007812,30427553.426701188,76.49410800087199
C2014-01.csv,25,39777643.3007812,26087596.232539892,65.58356420282836
C2014-01.csv,1 -> 25,39777643.3007812,17818401.184623033,44.79501475210095
C2014-01.csv,50,39777643.3007812,36009869.306076296,90.52791044905642
C2014-01.csv,1 -> 50,39777643.3007812,22547344.214381848,56.683459208200595
-----,------,------,------,------
C2016-28.csv,tat ca,586086.849975586,761795.525271602,70.02002769669116
C2016-28.csv,25,586086.849975586,860989.8844388276,53.09517105277266
C2016-28.csv,1 -> 25,586086.849975586,379590.6447287947,64.76696154240739
C2016-28.csv,50,586086.849975586,873384.1027769372,50.980430150698865
C2016-28.csv,1 -> 50,586086.849975586,620290.2645838112,94.16410475518263
-----,------,------,------,------
C2016-04.csv,tat ca,906253.8671875,818736.3437292101,90.34293517224981
C2016-04.csv,25,906253.8671875,825998.5418175347,91.14427774868068
C2016-04.csv,1 -> 25,906253.8671875,339843.21042030305,37.49978043955656
C2016-04.csv,50,906253.8671875,927683.2466588914,97.63538890731621
C2016-04.csv,1 -> 50,906253.8671875,598916.1443493105,66.08701667756827
-----,------,------,------,------
C2011-07.csv,tat ca,191065.05999634002,240037.97826191556,74.3684594836368
C2011-07.csv,25,191065.05999634002,148743.2436199449,77.84952603201977
C2011-07.csv,1 -> 25,191065.05999634002,142037.5907750681,74.3399084991201
C2011-07.csv,50,191065.05999634002,158397.1189331822,82.90218993269434
C2011-07.csv,1 -> 50,191065.05999634002,148046.21348562464,77.48471305452738
-----,------,------,------,------
C2013-13.csv,tat ca,955929.2242979999,1014189.5162564425,93.90537599671912
C2013-13.csv,25,955929.2242979999,971770.7904377952,98.34280972512073
C2013-13.csv,1 -> 25,955929.2242979999,575257.7337531988,60.177858269334465
C2013-13.csv,50,955929.2242979999,1188966.8058352023,75.62187915027529
C2013-13.csv,1 -> 50,955929.2242979999,784081.6280786125,82.02297912321008
-----,------,------,------,------
C2016-03.csv,tat ca,910728.0108642579,954911.3978896883,95.14856395121728
C2016-03.csv,25,910728.0108642579,885450.8686567321,97.22451248825229
C2016-03.csv,1 -> 25,910728.0108642579,598833.2797968537,65.75325153649068
C2016-03.csv,50,910728.0108642579,983744.0818362422,91.98266989694389
C2016-03.csv,1 -> 50,910728.0108642579,795490.6333485655,87.3466747326312
-----,------,------,------,------
data_020.csv,tat ca,2512524.0,2054244.259740337,81.76018456899664
data_020.csv,25,2512524.0,1045078.7784930393,41.59477794015258
data_020.csv,1 -> 25,2512524.0,947564.602790609,37.713653791590005
data_020.csv,50,2512524.0,2707610.270328723,92.23544649409428
data_020.csv,1 -> 50,2512524.0,1285312.4110629298,51.15622422165637
-----,------,------,------,------
data_012.csv,tat ca,494947.71249999997,536858.7289189512,91.53223353488046
data_012.csv,25,494947.71249999997,361168.06451184675,72.97095337355393
data_012.csv,1 -> 25,494947.71249999997,246135.910550271,49.72967938512717
data_012.csv,50,494947.71249999997,505722.65008586645,97.82301497436126
data_012.csv,1 -> 50,494947.71249999997,316824.0313241508,64.01161644406041
-----,------,------,------,------
C2015-20.csv,tat ca,11100.0,142277.61494492088,0
C2015-20.csv,25,11100.0,142068.75671765953,0
C2015-20.csv,1 -> 25,11100.0,141647.77491175383,0
C2015-20.csv,50,11100.0,142663.06261385605,0
C2015-20.csv,1 -> 50,11100.0,141858.26581470668,0
-----,------,------,------,------
data_017.csv,tat ca,1314584.5820000002,958194.5107280364,72.88952904576485
data_017.csv,25,1314584.5820000002,488240.25048165396,37.14026903760339
data_017.csv,1 -> 25,1314584.5820000002,161154.49534170702,12.258967399155685
data_017.csv,50,1314584.5820000002,1021404.8924007267,77.69792118258135
data_017.csv,1 -> 50,1314584.5820000002,514705.0819488391,39.15343972510086
-----,------,------,------,------
C2014-02.csv,tat ca,190266.49902343808,270118.82788331,58.03132486816018
C2014-02.csv,25,190266.49902343808,211317.6101711467,88.93598649486087
