Mã,Loai,Thuc te,Du doan,Chinh xac
C2016-22.csv,tat ca,4.67916666666667,8.131657468587306,26.215690787092406
C2016-22.csv,25,4.67916666666667,9.722697117256352,0
C2016-22.csv,1 -> 25,4.67916666666667,10.562189986950255,0
C2016-22.csv,50,4.67916666666667,7.831791805028729,32.6242178800629
C2016-22.csv,1 -> 50,4.67916666666667,10.142443552103304,0
-----,------,------,------,------
C2015-07.csv,tat ca,16.7125,15.778262235221952,94.40994605966763
C2015-07.csv,25,16.7125,14.869054778271327,88.96966209885612
C2015-07.csv,1 -> 25,16.7125,14.507716952196315,86.80758086579695
C2015-07.csv,50,16.7125,15.85079853411636,94.84397028641054
C2015-07.csv,1 -> 50,16.7125,14.296679931716245,85.5448313042109
-----,------,------,------,------
C2014-01.csv,tat ca,24.1458333333333,19.734841473261202,81.73187150272123
C2014-01.csv,25,24.1458333333333,20.747055235671546,85.9239561097701
C2014-01.csv,1 -> 25,24.1458333333333,15.80655117609822,65.46285215295215
C2014-01.csv,50,24.1458333333333,17.495622716405308,72.45814412316271
C2014-01.csv,1 -> 50,24.1458333333333,18.302758686087888,75.80089878621396
-----,------,------,------,------
C2016-28.csv,tat ca,3.6125,4.26251687548208,82.00645327385244
C2016-28.csv,25,3.6125,3.295032444168811,91.21197077283907
C2016-28.csv,1 -> 25,3.6125,6.6013491151366885,17.263692314555325
C2016-28.csv,50,3.6125,3.826594042182844,94.0735213236583
C2016-28.csv,1 -> 50,3.6125,4.94819077965275,63.02586077085813
-----,------,------,------,------
C2016-04.csv,tat ca,11.533333333334499,10.675464994350103,92.5618352111187
C2016-04.csv,25,11.533333333334499,9.677219463582006,83.90652714087597
C2016-04.csv,1 -> 25,11.533333333334499,9.942321253829832,86.20509757655053
C2016-04.csv,50,11.533333333334499,11.101626252326898,96.2568750201657
C2016-04.csv,1 -> 50,11.533333333334499,10.230615902714462,88.70476216225515
-----,------,------,------,------
C2011-07.csv,tat ca,20.75,20.560540601098147,99.08694265589469
C2011-07.csv,25,20.75,20.804919201422166,99.7353291497727
C2011-07.csv,1 -> 25,20.75,15.64641312045637,75.40440058051261
C2011-07.csv,50,20.75,25.607954680543884,76.58817021424635
C2011-07.csv,1 -> 50,20.75,19.73828904437565,95.12428455120796
-----,------,------,------,------
C2013-13.csv,tat ca,10.0791666666667,7.758742913885759,76.97801981531939
C2013-13.csv,25,10.0791666666667,7.924708096851603,78.62463593403797
C2013-13.csv,1 -> 25,10.0791666666667,8.15290819140879,80.8887129366723
C2013-13.csv,50,10.0791666666667,4.986972001416724,49.47801903017817
C2013-13.csv,1 -> 50,10.0791666666667,7.799238812979503,77.37979806180549
-----,------,------,------,------
C2016-03.csv,tat ca,10.733333333333302,8.239156848382159,76.76233088554828
C2016-03.csv,25,10.733333333333302,7.08813600528395,66.03853421072021
C2016-03.csv,1 -> 25,10.733333333333302,6.712291894686196,62.53688100639331
C2016-03.csv,50,10.733333333333302,8.48593359163505,79.06149308976778
C2016-03.csv,1 -> 50,10.733333333333302,7.290235178675732,67.92144576405981
-----,------,------,------,------
data_020.csv,tat ca,21.0667,19.93658413954921,94.63553446695121
data_020.csv,25,21.0667,20.401354500262272,96.84171939725857
data_020.csv,1 -> 25,21.0667,18.70186426849825,88.7745316945618
data_020.csv,50,21.0667,19.300047817332178,91.61400607276971
data_020.csv,1 -> 50,21.0667,19.399451496898983,92.08585823550429
-----,------,------,------,------
data_012.csv,tat ca,10.8667,11.166739794607414,97.23890606525059
data_012.csv,25,10.8667,10.63124646600642,97.83325633362861
data_012.csv,1 -> 25,10.8667,9.251903205215445,85.13995237942932
data_012.csv,50,10.8667,13.494985051058952,75.81340194300981
data_012.csv,1 -> 50,10.8667,11.234802339060405,96.61256555292402
-----,------,------,------,------
C2015-20.csv,tat ca,7.48611111111338,4.441143371587957,59.32510626238145
C2015-20.csv,25,7.48611111111338,4.428995824490787,59.16283847184416
C2015-20.csv,1 -> 25,7.48611111111338,1.0752653409934574,14.363470232190256
C2015-20.csv,50,7.48611111111338,5.30109600191852,70.81241412579179
C2015-20.csv,1 -> 50,7.48611111111338,2.7521305827421223,36.7631543520172
-----,------,------,------,------
data_017.csv,tat ca,7.0333,9.224850092073694,68.84037234194909
data_017.csv,25,7.0333,10.051145744983067,57.092037237384055
data_017.csv,1 -> 25,7.0333,10.281974503861896,53.810096201471616
data_017.csv,50,7.0333,9.574789298915586,63.86490980172057
data_017.csv,1 -> 50,7.0333,10.0902436643247,56.536140015004335
-----,------,------,------,------
C2014-02.csv,tat ca,6.8458333333333306,8.083381276906032,81.92261068426973
C2014-02.csv,25,6.8458333333333306,8.013520420185536,82.94309794007734
C2014-02.csv,1 -> 25,6.8458333333333306,7.051128924371407,97.00115996049065
C2014-02.csv,50,6.8458333333333306,10.200219532299514,51.00105369738988
